Abbre,Lat,Long,Name
CWT,34.25711823,-118.598732,CHATSWORTH
CNO,35.0307045,-85.19438934,CHATTANOOGA
CMO,43.21690369,-121.7806625,CHEMULT
CRH,39.9274826,-75.04243469,CHERRY HILL
CHY,41.12158203,-104.8051834,CHEYENNE
BOR,41.09111023,-104.9869003,CHEYENNE(BORIE)
CHI,41.87873077,-87.63916779,CHICAGO
CIC,39.72330856,-121.8447189,CHICO
CIA,40.92995453,-89.49421692,CHILLICOTHE
CIP,30.78072739,-85.53761292,CHIPLEY
CIN,39.10237885,-84.53652954,CINCINNATI
CLM,34.0945282,-117.7155075,CLAREMONT
CLA,43.36878586,-72.37930298,CLAREMONT
CLW,27.97551537,-82.73092651,CLEARWATER
CWB,27.97724724,-82.82778168,CLEARWATER BEACH
CBR,32.34833527,-97.38166046,CLEBURNE
CSN,34.69117737,-82.83348083,CLEMSON
CLE,41.50441742,-81.69817352,CLEVELAND
CLF,37.81177139,-79.83649445,CLIFTON FORGE
CTV,44.62212753,-88.76015472,CLINTONVILLE
CLV,38.79989624,-123.0120773,CLOVERDALE
COT,39.98561859,-75.82066345,COATESVILLE
COX,39.09945679,-120.9527054,COLFAX
CFX,46.87592697,-117.3636551,COLFAX
CLL,30.60033607,-96.33712769,COLLEGE STATION - BRYAN
COS,38.83192444,-104.8191986,COLORADO SPRINGS
CLB,33.99371719,-81.04057312,COLUMBIA
COG,32.46133423,-84.98742676,COLUMBUS
COL,39.95907974,-82.99669647,COLUMBUS
CBS,43.34066772,-89.01248169,COLUMBUS
COM,33.99090576,-118.1437378,COMMERCE
COV,40.01810074,-79.59259796,CONNELLSVILLE
COI,39.6464653,-85.13356018,CONNERSVILLE
CWY,33.83512497,-79.04673004,CONWAY
COO,32.97784424,-111.5155182,COOLIDGE
CBY,43.36664581,-124.2119904,COOS BAY
COC,36.09819412,-119.5565033,CORCORAN
CNG,39.92847824,-122.1969299,CORNING
CWH,40.07189178,-74.95080566,CORNWELLS HEIGHTS
CNA,32.09160614,-96.46195984,CORSICANA
CVI,44.56523895,-123.2605972,CORVALLIS
CTG,43.80474091,-123.0563965,COTTAGE GROVE
CRF,40.0442543,-86.89938354,CRAWFORDSVILLE
CRN,41.05708313,-94.36119843,CRESTON
CSV,30.75758743,-86.56903076,CRESTVIEW
CRT,41.19272995,-73.88384247,CROTON-HARMON
CLP,38.47292328,-77.99304199,CULPEPER
CUM,39.65058517,-78.75847626,CUMBERLAND
CUT,48.63694,-112.3300247,CUT BANK
DDE,28.36418915,-82.18482208,DADE CITY
DAL,32.77554321,-96.80740356,DALLAS
DVI,40.11942673,-87.63611603,DANVILLE
DAN,36.58369827,-79.38431549,DANVILLE
DVP,41.51973724,-90.5774231,DAVENPORT
DAV,38.54411316,-121.7370682,DAVIS
DYA,29.22823143,-81.00911713,DAYTONA BEACH
DER,42.31304932,-83.2011795,DEARBORN
DFB,26.3177948,-80.12145996,DEERFIELD BEACH
DEL,32.95942688,-117.2667007,DEL MAR
DRT,29.36308098,-100.9014664,DEL RIO
DLD,29.01683426,-81.35245514,DELAND
DLB,26.45517921,-80.0925293,DELRAY BEACH
DEM,32.27108383,-107.7608337,DEMING
DNK,33.32614517,-81.14315033,DENMARK
DEN,39.75322342,-104.9996109,DENVER
DIA,39.85834122,-104.6669159,DENVER INTERNATIONAL AP'T
DET,42.36788177,-83.07209778,DETROIT
DLK,46.81948853,-95.84558105,DETROIT LAKES
DVL,48.11064529,-98.8613739,DEVILS LAKE
DIL,34.41828537,-79.37175751,DILLON
DSY,33.81058884,-117.9228821,DISNEYLAND
DDG,37.75259781,-100.0165787,DODGE CITY
DOA,41.98120117,-86.10873413,DOWAGIAC
DOW,40.00253677,-75.70812225,DOWNINGTOWN
DQN,38.01135254,-89.24015808,DU QUOIN
IAD,38.95161819,-77.44791412,DULLES INTERNATIONAL AP'T
DUL,46.76660156,-92.12400818,DULUTH
DUK,42.48533249,-79.33101654,DUNKIRK
DUN,41.21117401,-122.2699738,DUNSMUIR
DRD,42.90977859,-83.98243713,DURAND
DUR,33.07375336,-89.85348511,DURANT
DNC,35.99703598,-78.90722656,DURHAM
DWT,41.09204865,-88.42832184,DWIGHT
DYE,41.49852753,-87.51818848,DYER
EGL,39.65070724,-106.8330536,EAGLE
EDP,37.69921875,-121.8935013,EAST DUBLIN-PLEASANTON
GPK,48.44396591,-113.2185593,EAST GLACIER PARK
LNS,42.71908188,-84.49354553,EAST LANSING
EUC,44.81437683,-91.49999237,EAU CLARE
EDM,47.81129456,-122.3830719,EDMONDS
EFG,39.11915588,-88.54571533,EFFINGHAM
EMC,34.0725975,-118.0424957,EL MONTE
ELP,31.75772476,-106.4948883,EL PASO
EPL,37.67854309,-119.7528915,EL PORTAL
ELT,40.1473999,-76.61457825,ELIZABETHTOWN
EKH,41.68072128,-85.97105408,ELKHART
ELK,40.83687592,-115.7533951,ELKO
EBG,46.99957657,-120.5527573,ELLENSBURG
ELY,41.37005234,-82.09700775,ELYRIA
EMY,37.84067917,-122.2906799,EMERYVILLE
EMP,38.40185165,-96.18553925,EMPORIA
EPH,47.32059479,-119.548645,EPHRATA
ERI,42.12112808,-80.08103943,ERIE
EMI,45.7803688,-87.08735657,ESCANABA
ESM,48.2808609,-113.6094818,ESSEX
EUG,44.05538559,-123.0918427,EUGENE-SPRINGFIELD
EKA,40.80301666,-124.1582031,EUREKA
EVT,41.26921463,-110.9642944,EVANSTON
EVR,47.97928238,-122.2156219,EVERETT
EVE,31.43252182,-86.95611572,EVERGREEN
EXT,40.01995087,-75.62329865,EXTON
FHV,43.59057617,-73.26204681,FAIR HAVEN
FAR,46.88107681,-96.78461456,FARGO
FMC,40.24155426,-88.64270782,FARMER CITY
FAY,35.05490494,-78.88506317,FAYETTEVILLE
FIL,34.39612961,-118.9166107,FILLMORE
FSH,37.47462845,-119.6371918,FISH CAMP
FLG,35.19801331,-111.6506653,FLAGSTAFF
FLN,43.01363373,-83.65483856,FLINT
FRO,44.01136017,-124.1003494,FLORENCE
FLO,34.19881821,-79.75709534,FLORENCE
FLC,43.75553131,-88.45079041,FOND DU LAC
FDL,43.7525177,-88.45018768,FONT DU LAC
FCC,40.5837822,-105.065918,FORT COLLINS
FED,43.26951599,-73.58045959,FORT EDWARD/GLENS FALLS
FHD,31.13995934,-97.76431274,FORT HOOD
FTL,26.11961365,-80.1701889,FORT LAUDERDALE
FMD,40.62339401,-91.33335876,FORT MADISON
FMG,40.24732971,-103.8026505,FORT MORGAN
FTM,26.68235016,-81.88490295,FORT MYERS
FWA,41.07608032,-85.13870239,FORT WAYNE
FTW,32.74937439,-97.3238678,FORT WORTH
FTA,40.59749603,-124.1518936,FORTUNA
FOS,41.15253448,-83.41426849,FOSTORIA
FOX,41.45766068,-71.97193909,FOXWOOD CASINO
WIP,39.94869614,-105.8173676,FRAISER-WINTER PARK
FRA,42.27666855,-71.41786194,FRAMINGHAM
FRS,38.76501846,-77.17054749,FRANCONIA/SPRINGFIELD
FDR,39.41179276,-77.41106415,FREDERICK
FBG,38.29855728,-77.45693207,FREDERICKSBURG
FDN,42.44512558,-79.34017944,FREDONIA
FRT,37.53993225,-121.9224396,FREEMONT-MISSION SAN JOSE
FMT,37.55819702,-122.0063782,FREMONT
FNO,36.73862839,-119.7822495,FRESNO
FSC,39.5871048,-106.096283,FRISCO
FUL,33.86894608,-117.9228363,FULLERTON
FTN,36.52252197,-88.88800812,FULTON
GNF,29.65107918,-82.32369232,GAINESVILLE
GNS,34.28371811,-83.82668304,GAINESVILLE
GLE,33.62442398,-97.14026642,GAINESVILLE
GBA,40.94961929,-90.37102509,GALESBURG (EX-ATSF)
GBB,40.94404984,-90.36410522,GALESBURG (EX-BN)
GLP,35.52924728,-108.7396774,GALLUP
GLS,29.29120827,-94.78607178,GALVESTON
GBV,40.10106277,-123.7938995,GARBERVILLE
GCK,37.96472549,-100.8727951,GARDEN CITY
GBC,49.99924469,-123.1422195,GARIBALDI HIGHLANDS
GIN,41.35323715,-85.13601685,GARRETT
GAS,35.26835632,-81.16397858,GASTONIA
GEO,43.65727997,-79.92368317,GEORGETOWN
GLM,40.76207733,-87.99476624,GILMAN
GLY,37.00598145,-121.5675049,GILROY
GGW,48.19451523,-106.6348114,GLASGOW
GCO,42.72455978,-81.71585846,GLENCOE
GDL,34.12363815,-118.2579575,GLENDALE
GLN,42.07419586,-87.80534363,GLENVIEW
GSC,39.54811859,-107.3226776,GLENWOOD SPRINGS
GBO,35.38654709,-77.99396515,GOLDSBORO
GTA,34.43755722,-119.8411713,GOLETA
GRA,40.08391571,-105.9348373,GRANBY
GCN,36.05671692,-112.1349411,GRAND CANYON NATIONAL PAR
GFK,47.91885376,-97.11043549,GRAND FORKS
GJT,39.06481934,-108.5699234,GRAND JUNCTION
GRR,42.95637131,-85.67899323,GRAND RAPIDS
GVI,45.92650604,-116.1289368,GRANGEVILLE
GTP,42.43545914,-123.2963333,GRANTS PASS
GRS,39.21938324,-121.0579529,GRASS VALLEY
GRE,40.42394257,-104.6883926,GREELEY
GBY,44.51483154,-88.0050354,GREEN BAY
GRI,38.99244308,-110.1645966,GREEN RIVER
GNR,41.52702713,-109.4653015,GREEN RIVER
GFV,42.30490112,-83.24184418,GREENFIELD VILLAGE
GRO,36.061203,-79.83135223,GREENSBORO
GNB,40.30485153,-79.54727936,GREENSBURG
GVA,31.82530212,-86.63053894,GREENVILLE
GRV,34.85655975,-82.41418457,GREENVILLE
GWD,33.51773834,-90.17608643,GREENWOOD
GDA,33.78321457,-89.79808807,GRENADA
GMS,43.18756485,-79.55370331,GRIMBSY
GVB,35.1220665,-120.6281052,GROVER BEACH
GUA,34.96260452,-120.5729446,GUADALUPE/SANTA MARIA
GUE,43.55136871,-80.25400543,GUELPH
GUF,30.36860847,-89.09497833,GULFPORT
HAG,39.56830978,-77.73008728,HAGERSTOWN
HMN,39.39457321,-84.55991364,HAMILTON
HAM,34.8830719,-79.69845581,HAMLET
HMD,30.51169777,-90.46359253,HAMMOND
HMI,41.6930809,-87.50874329,HAMMOND-WHITING
HNF,36.32621384,-119.6507797,HANFORD
HGN,26.19343376,-97.69390106,HARLINGEN
HFY,39.32504272,-77.73355865,HARPERS FERRY
HAR,40.26156235,-76.87819672,HARRISBURG
HFD,41.76779938,-72.68212128,HARTFORD
HAS,40.58413315,-98.3873291,HASTINGS
HCH,32.66562271,-107.1558228,HATCH
HBG,31.32671928,-89.28618622,HATTIESBURG
HAV,48.55441666,-109.6781235,HAVRE
HWT,29.59659576,-82.08708191,HAWTHORNE
HAY,37.66685867,-122.0977859,HAYWARD
HAZ,31.86289787,-90.39427948,HAZELHURST
HEA,38.61066818,-122.8694992,HEALDSBURG
HER,39.68819809,-110.8525772,HELPER
HMT,33.74717331,-117.0054779,HEMET
HEM,38.70729446,-91.43260193,HERMANN
HMO,45.84533691,-119.2893372,HERMISTON
HPT,35.95750809,-80.00583649,HIGH POINT
HIK,45.79586411,-119.3092957,HINKLE
HIN,37.67707062,-80.88863373,HINTON
HLD,40.43619156,-99.3707428,HOLDREGE
HOM,42.78931427,-86.09777832,HOLLAND
HOL,26.01068687,-80.16854095,HOLLYWOOD
HMF,25.46810913,-80.4744873,HOMESTEAD
HMW,41.56235123,-87.66851044,HOMEWOOD
HOO,45.70121002,-121.5226135,HOOD RIVER
HSN,34.50974274,-93.05351257,HOT SPRINGS
HOS,29.76718903,-95.36697388,HOUSTON
HWC,43.39572906,-85.46992493,HOWARD CITY
HUD,42.25308228,-73.79843903,HUDSON
HTR,42.24498367,-74.18408203,HUNTER MOUNTAIN
HGD,40.4834938,-78.01183319,HUNTINGDON
HUN,38.41540527,-82.44084167,HUNTINGTON
HUT,38.05585861,-97.93006134,HUTCHINSON
HYA,41.65513611,-70.27881622,HYANNIS
IDA,43.49647903,-112.0470581,IDAHO FALLS
IDP,39.0869751,-94.4292984,INDEPENDENCE
IND,39.76215363,-86.16030884,INDIANAPOLIS
IDO,33.7147522,-116.2331696,INDIO
IRV,33.67476654,-117.7591934,IRVINE
ISL,24.92460823,-80.62878418,ISLAMORADA
ISQ,47.53039551,-122.0362854,ISSAQUAH
JXN,42.24805069,-84.40029144,JACKSON
JAN,32.30064392,-90.19059753,JACKSON
JAX,30.36657715,-81.72460175,JACKSONVILLE
JMN,42.0964241,-79.24009705,JAMESTOWN
JVI,42.66396713,-88.97331238,JANESVILLE
JVL,42.72035599,-88.99692535,JANESVILLE
JEF,38.57905197,-92.17037964,JEFFERSON CITY
JSP,31.60590935,-81.88220215,JESUP
JST,40.33010101,-78.92242432,JOHNSTOWN
JOL,41.52487564,-88.07913971,JOLIET
KAL,42.29545212,-85.58358765,KALAMAZOO
KLK,44.74995041,-85.17169189,KALKASA
KKI,41.119133,-87.8657608,KANKAKEE
KAN,35.50126648,-80.62181091,KANNAPOLIS
KCY,39.08615112,-94.58394623,KANSAS CITY
KEL,46.1426239,-122.9117661,KELSO-LONGVIEW
JFK,40.64375687,-73.78418732,KENNEDY AIRPORT NEW YORK
KTC,35.98417664,-119.9594879,KETTLEMAN CITY
KEE,41.24562454,-89.92742157,KEWANEE
KYL,25.13558578,-80.40423584,KEY LARGO
KWA,24.55593491,-81.75946045,KEY WEST
KWS,24.55217934,-81.79213715,KEY WEST - DOWNTOWN
KIL,31.12129784,-97.72948456,KILLEEN
KLT,43.66832733,-72.80457306,KILLINGTON
KGC,36.20351028,-121.1287003,KING CITY
KNG,35.18835831,-114.0520706,KINGMAN
KIN,41.48394012,-71.56228638,KINGSTON
KTR,33.66437912,-79.82906342,KINGSTREE
KWD,38.58088303,-90.40759277,KIRKWOOD
KIS,28.29327011,-81.40486908,KISSIMMEE
KOT,43.45701981,-80.49342346,KITCHNER
KFS,42.22587967,-121.7709198,KLAMATH FALLS
LCA,34.23068619,-118.2653275,LA CRESCENTA
LSE,43.83361816,-91.24759674,LA CROSSE
LAE,45.3259201,-118.0780182,LA GRANDE
LAG,41.81590271,-87.86972046,LA GRANGE ROAD
LGA,40.77195358,-73.86972046,LA GUARDIA AIRPORT
LAJ,37.98806763,-103.5424957,LA JUNTA
LPN,43.67464066,-121.4991455,LA PINE
LAP,40.0314064,-92.48530579,LA PLATA
LAF,40.42108917,-86.89503479,LAFAYETTE
LFT,30.22734451,-92.01459503,LAFAYETTE
LUN,33.54380035,-117.7830734,LAGUNA BEACH
LBV,28.38327026,-81.50650024,LAKE BUENA VISTA
LCH,30.23808479,-93.21499634,LAKE CHARLES
LEC,30.1966114,-82.65110016,LAKE CITY
LHA,34.46609116,-114.3345261,LAKE HAVASU CITY
LOP,39.02039337,-121.0574417,LAKE OF THE PINES JCT.
LPD,44.28216934,-73.98454285,LAKE PLACID
LAK,28.0456543,-81.95161438,LAKELAND
LMR,38.08950043,-102.6182938,LAMAR
LMQ,29.37326813,-94.96373749,LAMARQUE
LMY,35.47748566,-105.884758,LAMY
LCS,34.69551086,-118.1361771,LANCASTER
LNC,40.0538063,-76.30758667,LANCASTER
LPE,43.04962921,-83.3056488,LAPEER
LAR,41.2961235,-105.5309525,LARAMIE
LDO,27.50617409,-99.50390625,LAREDO
LCR,32.30915451,-106.7947159,LAS CRUCES
LSV,35.59329987,-105.2121429,LAS VEGAS
LVS,36.1668129,-115.1486053,LAS VEGAS
LAB,40.3183403,-79.38522339,LATROBE
LNV,35.15706635,-114.5738525,LAUGHLIN
LAU,31.69239044,-89.12783813,LAUREL
LRC,38.97221756,-95.23171997,LAWRENCE
LTV,39.68565369,-123.4794159,LAYTONVILLE
LEV,47.5965004,-120.6603241,LEAVENWORTH
LHV,37.19202423,-76.5719223,LEE HALL
LEE,38.91294479,-94.3776474,LEE'S SUMMIT
LEG,39.85039902,-123.711174,LEGGETT
LMC,36.28665543,-119.7975464,LEMOORE
LWN,46.43136978,-116.9835129,LEWISTON
LEW,40.5885849,-77.579216,LEWISTON
LIB,48.39514923,-115.5486221,LIBBY
LCN,40.14753723,-89.36330414,LINCOLN
LNK,40.81467056,-96.71081543,LINCOLN
LDW,39.8350563,-75.00187683,LINDENWOLD
LRK,34.75035095,-92.28637695,LITTLE ROCK
LIV,37.70398331,-121.7366257,LIVERMORE
LOM,34.64387894,-120.4568329,LOMPOC
LPS,34.68445969,-120.6025162,LOMPOC-SURF STATION
LOT,42.98831177,-81.23557281,LONDON
LBC,33.77417755,-118.1885605,LONG BEACH
LGM,40.16934967,-105.1014633,LONGMONT
LVW,32.4958725,-94.7252655,LONGVIEW
LDB,32.35058975,-108.7063217,LORDSBURG
LOR,38.70596313,-77.22137451,LORTON (AUTO-TRAIN)
LAX,34.0562973,-118.2365341,LOS ANGELES
LVL,38.25200272,-85.76339722,LOUISVILLE
LJV,38.30117035,-85.75078583,LOUISVILLE/JEFFERSONVILLE
LLD,40.40736389,-105.0600128,LOVELAND
LOL,40.18490601,-118.4707108,LOVELOCK
LYH,37.40702438,-79.15746307,LYNCHBURG
MAK,45.78168106,-84.72528076,MACKINAW CITY
MAC,40.46113205,-90.67227936,MACOMB
MCN,32.84352875,-83.63009644,MACON
MDR,36.97451782,-120.0189438,MADERA
MDO,30.45911026,-83.41333771,MADISON
MSN,43.07587051,-89.39875793,MADISON
MAS,44.62710571,-121.12854,MADRAS
MAL,48.35988235,-107.8724442,MALTA
MON,43.70701981,-79.62908936,MALTON
MVN,34.36591721,-92.81235504,MALVERN
MLV,40.03578568,-75.51520538,MALVERN
MSS,38.75003433,-77.47384644,MANASSAS
MLN,44.90483093,-85.05732727,MANCELONA
MTC,44.07984161,-87.69699097,MANITOWOC
MTH,24.72720718,-81.04125214,MARATHON
MAR,39.71619415,-92.94657898,MARCELINE
MRC,33.05843735,-112.0479279,MARICOPA
MWI,45.08541107,-87.64343262,MARINETTE
MIO,44.68226624,-88.88876343,MARION
MRP,37.48965836,-119.9695435,MARIPOSA
MRX,34.25428772,-90.2728653,MARKS
MQT,46.54200745,-87.39530182,MARQUETTE
MHL,32.55134964,-94.36684418,MARSHALL
MTZ,38.01973343,-122.1363525,MARTINEZ
MRB,39.45827103,-77.96150208,MARTINSBURG
MRV,39.14202881,-121.5834274,MARYSVILLE
MAT,39.48242188,-88.37552643,MATTOON
MAY,38.65162277,-83.77107239,MAYSVILLE
MEN,26.20309258,-98.23641205,MCALLEN
MCA,44.92166138,-116.0895386,MCCALL
MCB,31.24929237,-90.45294189,MCCOMB
MCK,40.19756317,-100.6253433,MCCOOK
MCG,31.43792152,-97.40172577,MCGREGOR
MKV,40.97550583,-124.1109467,MCKINLEYVILLE
MFR,42.32886124,-122.8718643,MEDFORD
MEM,35.13243103,-90.05887604,MEMPHIS
MDT,41.5500412,-89.11728668,MENDOTA
MCD,37.30704117,-120.4758911,MERCED
MDN,41.53899765,-72.80121613,MERIDEN
MEI,32.36382294,-88.69616699,MERIDIAN
MSK,44.40382385,-85.69916534,MESICK
MET,40.56775284,-74.32785797,METROPARK
MIA,25.84984779,-80.2580719,MIAMI
MII,25.79003906,-80.28752136,MIAMI INT'L AIRPORT
MCI,41.72135925,-86.90522003,MICHIGAN CITY
MBY,44.01298523,-73.16569519,MIDDLEBURY
MID,40.19294739,-76.73161316,MIDDLETOWN
MDP,37.55945587,-119.9320679,MIDPINES
MFD,38.39493179,-113.0091019,MILFORD
MLB,37.59904861,-122.3851776,MILLBRAE
MKE,43.03401566,-87.91648102,MILWAUKEE
MIN,32.66188049,-95.49013519,MINEOLA
MOT,48.23573303,-101.297905,MINOT
MOE,30.69045067,-88.0381012,MOBILE
MOD,37.66814041,-120.9115982,MODESTO
MOJ,35.05228806,-118.1724472,MOJAVE
MLI,41.45472717,-90.5057373,MOLINE
MEW,47.85922241,-121.9685745,MONROE
MRY,36.59801102,-121.8925629,MONTEREY TRANSIT PLAZA
MGM,32.32650757,-86.33039856,MONTGOMERY
MNG,38.18070221,-81.32407379,MONTGOMERY
MPR,44.25736237,-72.60868073,MONTPELIER-BARRE
MTR,45.454216,-73.66523743,MONTREAL
MPK,34.2851944,-118.8769531,MOORPARK
MOV,33.91582489,-117.2876587,MORENO VALLEY
MHC,37.12662506,-121.6458435,MORGAN HILL
MOC,46.7300415,-117.0016098,MOSCOW
MLK,47.10194397,-119.2452164,MOSES LAKE
MJY,40.10891724,-76.50291443,MOUNT JOY
MTP,40.97130585,-91.55123901,MOUNT PLEASANT
MVW,48.43558884,-122.3297806,MOUNT VERNON
MUN,34.94112396,-111.6539459,MUNDS PARK
MBS,33.68162918,-78.92217255,MYRTLE BEACH
MYS,41.3492012,-71.95978546,MYSTIC
NCG,31.61830139,-94.63967133,NACOGDOCHES
NAM,43.57632065,-116.5571594,NAMPA
NNI,49.18260574,-123.951416,NANAIMO
NAP,38.30430984,-122.2840042,NAPA
NPV,41.77950668,-88.14505005,NAPERVILLE
NPL,26.16137886,-81.68608856,NAPLES
NPI,41.44120789,-86.00076294,NAPPANEE
NAV,38.34893036,-89.38158417,NASHVILLE
NVL,36.16014099,-86.78301239,NASHVILLE
NDL,34.84027863,-114.6048737,NEEDLES
NEV,39.25915909,-121.0170364,NEVADA CITY
NBK,40.4953537,-74.44850159,NEW BRUNSWICK
NBM,41.78794861,-86.73987579,NEW BUFFALO
NCR,38.95333099,-76.86443329,NEW CARROLLTON
NHV,41.29866791,-72.92599487,NEW HAVEN
NIB,30.0084877,-91.82351685,NEW IBERIA
NLC,41.35433197,-72.09388733,NEW LONDON
NLW,44.38918304,-88.73943329,NEW LONDON
